,Job_Title,Company,Experience,Salary,Location,Job Domain,Description,Tags,Posting Date,Scraping Date,Link
41,Hiring Hotel Mgt Freshers For Operations Executive (PAN India),Dtwelve Spaces Pvt Ltd,0-2 Yrs,"1,00,000 - 1,50,000 PA.","Pune, Delhi NCR, Indore",Hotel Jobs,"Stanza Living is Hiring Operations Executive!Freshers can also apply. Please refer the below details about the position.Work Locations: Delhi NCR, Indore & PuneOn Roll JobAccommodation & Meals provided by the companyJob Description :-Own end to end operations of the Residence/s and overall management.Manage a team of Housekeeping & Security members and coordinate services with various vendors for daily operations.Ensuring a high quality delivery and coordination of services with respect to Food, Housekeeping services, Security services, Internet, Laundry and Social events.Understanding the requirements of the customer and articulately dealing with situations and queries.Being the Single Point of Contact for all the students, parents and the management for the site/s.Manage records, checklists and do the various data entries required for smooth functioning of the unit.Be a representative of Stanza and be able to do sales and close on leads provided on site.Support Stanza Captains in day to day operations at Stanza properties - Ensuring a high-quality delivery and coordination of services with respect to Food, Housekeeping services, Security services, Internet, Laundry and Social events.Providing on ground / field support during exigencies Ensuring that there are no shortages in food & arranging for it when they occurCoordinate with concerned teams for repair & maintenance work at the propertiesInterested candidates can mail the resume / CV at sidharth.bansal@stanzaliving.comRequired Candidate profileShould be open to relocateShould be willing to stay within the propertyShould be from hospitality/Housekeeping backgroundPerks and Benefits Accommodation + Meal","['administration', 'restaurant', 'housekeeping', 'fresher', 'front office', 'laundry', 'accommodation', 'facility management']",11 Days Ago,,https://www.naukri.com/job-listings-hiring-hotel-mgt-freshers-for-operations-executive-pan-india-dtwelve-spaces-pvt-ltd-pune-delhi-ncr-indore-0-to-2-years-130620003342?src=jobsearchDesk&sid=15930815330778666&xp=2&px=1
42,Banquet / Sales Coordinator / Executive,HOTEL FIDALGO,2-5 Yrs,Not disclosed,goa,Hotel Jobs,"To supervise all phases of all type of banquet functions. Should also oversee banquet event and ensure that all service standards, departmental policies are followed by banquet staffs. Interact with the walk - in guests and be able to convert query to a booking and mail quotations to the guests.Graduate Hotel Management DiplomaMinimum 2 years experienceGood Communication with eye contact for details","['Supervisor', 'Banquet Sales Coordinator', 'Senior Executive', 'Hotel management', 'query']",30+ Days Ago,,https://www.naukri.com/job-listings-banquet-sales-coordinator-executive-hotel-fidalgo-goa-2-to-5-years-210120501114?src=jobsearchDesk&sid=15930815668494866&xp=1&px=2
43,Hotel Manager,Sunil Manpower Services,3-8 Yrs,Not disclosed,"Thane, Kalyan-Dombivali",Hotel Jobs,We Required Urgently Hotel or Order Manager for Local Area At Thane West Who have Minimum 5 to 7 Years Experience in Hotel Industry.,"['Hotel Manager', 'Restaurant Manager', 'Order Management', 'Order Processing Executive', 'Customer service orientation']",30+ Days Ago,,https://www.naukri.com/job-listings-hotel-manager-sunil-manpower-services-thane-kalyan-dombivali-3-to-8-years-230617502014?src=jobsearchDesk&sid=15930815668494866&xp=2&px=2
44,Application/sql Developer - Application Programming,Okda Solutions,5-10 Yrs,Not disclosed,Hyderabad,Application Programming Jobs,"Application/SQL Developer - Application Programming - .Net/ASP/VB/C#THE POSITION'S PURPOSE :The Application and SQL Developer serves as an integral part of both the Software Development and Database team. The Application and SQL Developer will be an important member of .Net based program development and also utilized for DB engineering tasks such as data conversions, process optimization, and database development.ESSENTIAL FUNCTIONS / MAJOR OBJECTIVES / DELIVERABLE :- .Net Developer (Web Forms, MVC, JavaScript, AngularJS,SQL- AngularJS v. 5 or higher required- WebAPI required- Write windows services, web applications and desktop application in .net- Interact with UI libraries in Javascript, JQuery HTML5- Write CSS and front end code.- SQL Server Development(Query Optimizations, Writing Stored Procedures )- Experience in Data Transformation Services like SSIS,- T-SQL: Analyze data sets and determine how the information relates to an information system.- Perform ad-hoc queries using SQL.- Optimize queries for performance.- SSRS: Designing and support existing reports, etc.- SSIS: Maintain and create new packages for production systems.- Adhere to project timelines and deliverable, effective communication of changes or disruptions to the schedule with a focus on expectation alignment.- Proven Web N-Tier application development experience.- Gathering and documenting business requirements from Clients.- Work closely with clients to identify business needs.- Providing production support of related systems and operations.- Identify business processes and develop solutions to solve problems.Required Candidate profileEDUCATIONAL QUALIFICATIONS / SKILLS / EXPERIENCE :- 5+ years of application programming experience using industry-standard development tools.- 5+ years with SQL (T-SQL, SSRS, SSIS, SSAS)- Proficiency with C#/VB, JavaScript/HTML, JQuery, ASP.Net (Web Forms and MVC), CSS, HTML5- Expert at creating and consuming web services using technologies such as SOAP, REST, WCF, WebAPI, Generic Handlers, etc.- Experience with Web Services/Cloud Technologies such as Azure or AWS, SAAS- Agile/Scrum project development.- Strong problem-solving skills required.- Have strong and confident communication skillset in customer support and presentation.- Have a background in engineering and reverse engineering system logic.- Be able to work in a team environment.- Strong Organization skills in Smart Sheet and Microsoft project necessary.- Telecommuting not available.","['C#', 'AngularJS', 'WebAPI', 'SSRS', '.Net', 'Webservices', 'VB', 'SSIS']",2 Days Ago,,https://www.naukri.com/job-listings-application-sql-developer-application-programming-okda-solutions-hyderabad-secunderabad-5-to-10-years-181119905484?src=jobsearchDesk&sid=15930816227805892&xp=1&px=1
45,Software Development - Application Programming,Ness Technologies,6-8 Yrs,Not disclosed,Bengaluru,Application Programming Jobs,"  .Roles and Responsibility- 6 - 8 years of experience in SNOW Support - ITSM, javascript, Service Portal, integrations- Good communication skills- Strong debugging skills- Ready to work 24*7 rotational shift- Good team player- Work with onsite team and clients- Good to have- Working knowledge in any other SNOW module - ITOM, ITAM, CSM, HRSM etc.- AngularJSDesired Skills","['Application programming', 'Debugging', 'Social networking', 'ITSM', 'Javascript', 'Manager Technology', 'angularjs', 'MTS']",15 Days Ago,,https://www.naukri.com/job-listings-software-development-application-programming-ness-technologies-bengaluru-bangalore-6-to-8-years-090620500941?src=jobsearchDesk&sid=15930816227805892&xp=2&px=1
46,Looking For BSP Engineer_innobox Systems,Innobox Systems Pvt Ltd,4-9 Yrs,Not disclosed,Hyderabad(Jubilee Hills),Application Programming Jobs,"BSP EngineerNo of positions : 3  Experience : 4-12 YearsLocation : Hyderabad  Expectations :Strong programming experience in C/C++Good Experience on BSP ( Uboot, bootloader, board bring up activities)Hands on experience in Linux kernel and application programming.Qualcomm experience with Wifi and BSP will be a huge plusExperience on Networking and OpenWRT.","['c++', 'c', 'bootloader', 'openwrt', 'networking', 'application programming', 'u - boot', 'linux kernel']",28 Days Ago,,https://www.naukri.com/job-listings-looking-for-bsp-engineer-innobox-systems-innobox-systems-pvt-ltd-hyderabad-secunderabad-4-to-9-years-280520001384?src=jobsearchDesk&sid=15930816614662479&xp=1&px=2
47,Looking For WLAN/WIFI Engineer_innobox Systems,Innobox Systems Pvt Ltd,5-10 Yrs,"10,00,000 - 18,00,000 PA.",Hyderabad(Jubilee Hills),Application Programming Jobs,"Deep working experience on WIFI /WLANThorough understanding of interaction between different subsystems inside Kernel4-8 years advanced hands-on experience on WLAN developmentDesign & Development of embedded software for ARM based SoC products.Experience on Linux Kernel.Proficient in C/C++ Embedded domain.Hands on with cross compilers, toolchains and target based debugging.Hands on experience in Linux kernel and application programming.Qualcomm experience with Wifi and OpenWRT, BSP will be a huge plus Experience working on any of the following chipsets would be an added advantage.Eager to learn new technologies and work as an individual contributor High level of self-motivation    Good to Have:TI OMAP.Qualcomm MSM/MDM.Nvidia Tegra.Atmel.Any other ARM based SoC.","['Embedded Software', 'Application Programming', 'Openwrt', 'C++', 'C', 'ARM', 'WiFi', 'Linux Kernel']",28 Days Ago,,https://www.naukri.com/job-listings-looking-for-wlan-wifi-engineer-innobox-systems-innobox-systems-pvt-ltd-hyderabad-secunderabad-5-to-10-years-280520001318?src=jobsearchDesk&sid=15930816614662479&xp=2&px=2
48,C++/ Opengl/ SSL Engineer - Client-server Architecture,Profuse HR,5-10 Yrs,Not disclosed,"Greater Noida, Noida",Client Server Jobs,"Job location : NoidaNotice Period : 2 MonthJob Description (C++ OpenGL/SSL)- Multiplatform core based, Platform independent code -- iOS, Android, Reliance Jio Meeting- Exposure on 3rd party CEF, OpenGL, DirectX Renderer, OpenSSLMust have :- 5 years of development experience- At least 3 years of experience in developing high performance, high quality and highly scalable enterprise or carrier grade C/C++ products/solutions using client-server architecture and communication protocols- Should have used of C/C++ build systems and compilers- Very good spoken/written English- Experience with multithreading and concurrency- Strong understanding of OpenGl rendering, video rendering- Strong understanding of Chromium Embedded Frameworks (CEF) & OpenSSL- Strong debugging skills using crash dumps, logs and other debugging tools- Strong understanding of at least two operating systems from Windows, MacOs, iOS, Android, Linux- Experience in using two Integrated Development Environment (e.g., Xcode, Visual Studio, Android Studio) and development of tool add-ins comes with them.- Good understanding of writing code that is maintainable- Good understanding of Object-Oriented software design and programming techniques.- Must be a very good Team playerNice to Have :- Experience with audio/video codecs, real-time communication (RTC) solutions/platforms is an advantage- Experience developing native libraries for mobile/web platforms- High-Level communication protocol knowledge (ICE, XMPP, SOAP, SIP, REST)- Good understanding of system programming for Windows, Linux, OS X, iOS, Android","['C++', 'Multithreading', 'Xcode', 'Communication Protocols', 'DirectX', 'OpenGL', 'Mac OS', 'Server Architect']",9 Days Ago,,https://www.naukri.com/job-listings-c-opengl-ssl-engineer-client-server-architecture-profuse-hr-greater-noida-noida-5-to-10-years-160620903710?src=jobsearchDesk&sid=15930817098602731&xp=1&px=1
49,Client Server Software Analyst II,Tsys,2-5 Yrs,Not disclosed,Pune,Client Server Jobs,"  Job DescriptionWhat Are Our Desired Skills and CapabilitiesOverall experience of 3-5 yearsExperience with: .Net framework, C#, VB.NET, ASP.NET, MVC, WCF, Design patterns, JAVAExperience with: MS SQLJavascript, jQueryWeb API, RESTful Web APICSSExperience with Incident Management ProcessesWorking knowledge of Windows , Linux, Java, IIS, Apache serversAbility to debug and analyze windows and web server logsFlexibility to work on shiftsWhat Are We Looking For in This RoleWilling to work in 24x7 environment on shift basisSupport for Boarding & Servicing application portfolio of 12-16 individual applications.Deployment SupportTriage issues with Windows Engineers, DBA, and Network EngineersSupport patching and verification schedulesSupport for Boarding & Servicing application portfolio of 12-16 individual applications.Role InfoLevel 2/3 support for analyzing, troubleshooting incidents/issues at the application layer for apps built on dotNet platform.Minimum QualificationsBachelor's DegreeRelevant Experience or Degree in: Degree in a related field and/or the equivalent in training and experienceTypically Minimum 2 Years Relevant ExpSystem design and development in a client server environmentPreferred QualificationsBachelor's DegreeComputer Science, Mathematics, Information Systems or EngineeringTypically Minimum 2 Years Relevant ExpExperience in an analytical, research, or project management environment in the credit card or software industry; programming experience with .Net development, including C# and C++.","['C++', 'MS SQL', 'jQuery', 'Linux', 'Project management', 'Javascript', 'Windows', 'WCF']",15 Days Ago,,https://www.naukri.com/job-listings-client-server-software-analyst-ii-tsys-pune-2-to-5-years-090620500930?src=jobsearchDesk&sid=15930817098602731&xp=2&px=1
50,AIX Admin,Squircle IT Consulting Services Pvt Ltd,2-5 Yrs,Not disclosed,Mumbai,Client Server Jobs,"Level 3 AIX Technical Support Specialists responsible for providing client server support for problem and change tickets surrounding the AIX infrastructure. Incumbent assesses situation to determine problem facing the client. Problems are not routine or standardized and the creation of documentation explaining the solution to the problem is required. Responsible for implementing changes to the client s environment. Pager coverage will be required and off- shift coverage may be required.Support Sev1/ Sev2 incident & problem tickets for client servers. This involves problem determination and implementation of changes to hardware and/ or software. This position provides high level (Level 3) of support. Tasks are not standardized and require independent thought and problem solving to resolve. Interaction with other teams is often required to solve issuesShould be able to handle first point escalation for all technical and process issues.Create and update high quality documentation for maintaining and administering the AIX platform, including architectural, technical, and process documentation and user guides.Assess platform capabilities and architectural needs and make recommendations to Governance team for enhancements to the platform. Work closely with the governance team to envision, plan and implement new directions.Work to standardize repeatable tasks and steps within a team while providing coaching and mentoring to the junior team members. This may require creating documentation or scripts that can be used to solve the same problem in the futureExperience in Virtualization - proven knowledge on VIOS commands & hypervisor , Installation/ upgrade/ patch management of VIOS, Remote NIM installation, Installation through HMC, DVD installation, Create Virtual adapters like NIC, FC, SCSI , Manage & assign the Luns to different LPAR'sExperience on GPFS (General Parallel File System)Analysis and tuning over IBM P Series Servers, - Recommend operating system updates and configuration modificationExperience with OS storage (SAN) configuration & maintenance. IBM SVC. Hitachi. EMC. Unix shell scripting (Korn and/ or Perl) is a plus.Working knowledge of firewalls, load balancers and switchesExperiencing in planning and scheduling periodical maintenance for all hardwareFacilitate or engage in problem solving to create a continuous improvement cultureEstablish scripted and automated processes for deployments and configuration changes.Provides support and technical expertise for applications running in the production environment.Provide system support including off shift on call support as and when required. Increase staff skill levels by cross training.","['Technical product configuration', 'c++', 'C', 'design', 'MySQL', 'JavaScript', 'integration PHP', 'HTML']",30+ Days Ago,,https://www.naukri.com/job-listings-aix-admin-squircle-it-consulting-services-pvt-ltd-mumbai-2-to-5-years-010717501425?src=jobsearchDesk&sid=15930817505061329&xp=1&px=2
51,Associate Development Manager C++,Quick Heal Technologies Limited,9-12 Yrs,Not disclosed,Pune,Client Server Jobs," We are hiring Product Experts who will own end to end development of Next-gen Enterprise Security Solutions. Job Description  Roles :Associate Project Manager/Development Manager (C++) (Key Skills1: C/C++, Windows Internals, Multithreading, COM, Socket Programming, MFC and SDK ,Win 32)   (Key Skills: C/C++, Windows Internals, Kernel Programming, Data Encryption, Cryptography Engineering, Encryption-Decryption Algorithms, Multithreading, Kernel Programming, Latest Windows Updates.  Technical Skills: Proficient in handling the most complex of technical development concepts, latest software tools and technologies, strong database concepts and designing techniques. Must possess the above listed required skills. Management Skills: Strong focus on Quality of the software. Must be adept with and must drive the quality gates like code reviews, code coverage, unit tests, etc. Provide direction and technical expertise in design, development and systems integration Understand project requirements, coordinate with resources and direct the projects in the right direction in a timely manner Excellent team player Experience in working with/managing Agile teams Ability to communicate effectively with teams and clients (internal and external) Understand project requirements, coordinate with resources and direct the projects in the right direction in a timely manner Ability to manage change and effectively pass on the information down the line to concerned teams for smoother execution Delegate and allocate responsibilities efficiently to manage projects end to end Hire and train staff for the projects in hand Generate ideas for improving processes, code and designs  Exp:10 to 12 yrs Possesses good knowledge of client/server architectures and various compatibility requirements. Expertise level skills in C/C++ programming. Knowledge of MySQL, IIS & Networking programming. Prior experience in Antivirus or related to Data Security is a plus. Expertise in Windows OS. Must have worked on scaling and performance.","['com', 'algorithms', 'c++', 'windows internals', 'c', 'win32', 'socket programming', 'multithreading']",30+ Days Ago,,https://www.naukri.com/job-listings-associate-development-manager-c-quick-heal-technologies-limited-pune-9-to-12-years-170419005460?src=jobsearchDesk&sid=15930817505061329&xp=2&px=2
52,Oracle Database Administrator,ATOS GLOBAL IT SOLUTIONS AND SERVICES PVT LTD,5-10 Yrs,Not disclosed,"Pune, Bengaluru",DBA Jobs,"Provide Support of production, non-production database services to ensure the highest standards of availability, resilience, integrity, security and performance required by our business systems.Project ManagementInstallation and Setup of Oracle softwareDesign, development, creation and administration of Oracle databases on logical / raw partitionsDatabase upgrades, Rolling upgrades migration, Cross Platform MigrationConfiguring parameters and Performance tuningBasic knowledge and Administration of Exadata DBs systems.Configuration and Management of back-up & recovery proceduresResource Management:Physical storage, Logical database structure, Memory resource management.Performance tuning of sophisticated database issues.Re organization of large databasesExecution and Troubleshooting RMAN backups and recovery, restore and cloningStandby database management using Data guard / ManualL3 Configuration, Management Troubleshooting of RAC (10g / 11g)Excellent knowledge on DB utilities Data pump, ash, awr, RMAN etc.L3 Configuration, Management and Troubleshooting of ASMOEM installation & configuration. Crafting standard DB monitoring templates.Database performance monitoring as per the set baselines.Proactive tuning of database to achieve desire performance metric SLA's.Knowledge on Shell scripting would be added advantagePOC's of new DB features & versions. Demonstrate the benefits to customer & include them in service catalogDatabase security implementationKnowledge on Active data guard, Snapshot standbyOracle Patch Management involving, review of patches, testing patches, planning release on production and execution.Experience on always on database administrationWorking closely with customer to develop Database as service (DaaS) roadmap. Managing the Database product roadmaps & lifecycle.Configuration, Management & Troubleshooting of Oracle Partitioning and Replication tools like StreamsStrong shell scripting skillsGood communication, coordination skillsGood knowledge of ITIL processes with special attention to - incident, change, problem management, Database growth & capacity management for shared environment","['Dataguard', 'Exadata', 'RAC', 'Cloning', 'OEM', 'Ash', 'Datapump', 'ASM']",15 Days Ago,,https://www.naukri.com/job-listings-oracle-database-administrator-atos-global-it-solutions-and-services-pvt-ltd-pune-bengaluru-bangalore-5-to-10-years-100620000909?src=jobsearchDesk&sid=15930818128799086&xp=1&px=1
53,Oracle Database Administrator(exadata): Oracle Bangalore,Oracle India Pvt. Ltd.,10-18 Yrs,"14,00,000 - 24,00,000 PA.",Bengaluru,DBA Jobs,None,"['GG', '12c', 'oracle database administrator', '11g', 'Oracle DBA', 'golden gate', 'enterprise manager', 'dataguard']",Today,,None
54,Senior Oracle Database Administrator - Oracle RAC,Best Infosystems Ltd.,6-11 Yrs,Not disclosed,Bengaluru,DBA Jobs,"Designs, documents, implements, monitors, secures, and supports Oracle, GraphDB (NoSQL) and MS SQL and other database systems to meet the business requirements of the organization. Maximizes the performance, security, reliability, and availability of all databases.Must - Oracle and GraphDB skills are mandatoryPrimary Responsibilities :- Responsible for the 24x7 availability of mission critical production environments as well as all aspects of administration for non-production environments- Creates and maintains all databases required for development, testing, training and production usage.- Performs the capacity planning required to create and maintain the databases. The DBA works closely with system administration staff because computers often have applications or tools on them in addition to the Oracle Databases.- Plans and manages patch application on all database servers.- Creates, distributes, and enforces standards for user account, group, and database security and configuration for all production databases and for non-production databases that may contain PHI or other sensitive data protected under HIPAA, Sarbanes Oxley, or other state or federal regulatory requirements.- Designs, documents, implements, and monitors archive and other essential log file configuration, operation, and location.- experience working as a performance tuner- experience with SQL tuning and optimization- Designs, documents, implements, and monitors backup of critical database files to tape or other approved media, and other database protection or high availability solutions such as replication, mirroring, shadowing, or RAC.- Monitors performance issues on all production and non-production databases (as applicable) implementing performance monitoring and trending on all production and applicable non-production databases with tools such as Stats Pack, Enterprise Manager, and appropriate third party OS and Oracle or MS SQL and other performance monitoring tools. Performs ongoing tuning of the database instances- Provides monthly reports to management on performance on production databases including any performance exceptions and all requested performance data in a summarized, easy-to-read format.- Designs, documents, and implements performance enhancing hardware, OS, or database configuration changes to improve performance using performance data collected to verify performance improvements.- Creates, documents, and implements standard, secure, high-performance configurations for all Oracle and MS SQL and other database installs.- Assist development and reporting groups in optimizing SQL statements in applications, batch jobs, and reports and in designing and using databases and database applications and processes for maximum performance, security, reliability, and availability.- Assists with impact analysis of any changes made to the database objects.Troubleshoots with problems regarding the databases, applications and development tools.Additional Responsibilities :- Responds to alerts or emergency issues within 15 minutes during normal business hours and when on-call- Provides project management support for database and database systems projects- Transfers knowledge to other members on team- Reviews new technologies against business requirements to identify opportunities for process, performance, reliability, or data management, storage or backup improvements and to identify opportunities to improve performance or reduce costs.- After hours work may be required for upgrades to production systems to avoid system downtime during business hours- Must be able to be available for after-hours support via cell phone 24x7 when on call.- Must be flexible to travel on overseas projects short/long-termRequired Candidate profilePreferred Experience :Skill Area Experience :- Required at least 6 years of experience in Database administration areaOther Skills :- Demonstrated interpersonal/verbal/written communication skills- Ability to multi-task- Advanced Ability to work independently- Advanced Demonstrated analytical skills- Advanced Ability to work in a fast paced environment with changing priorities","['DBA', 'NoSQL', 'Oracle DBA', 'Oracle RAC', 'Senior Oracle Database Administrator', 'SQL']",Today,,https://www.naukri.com/job-listings-senior-oracle-database-administrator-oracle-rac-best-infosystems-ltd-bengaluru-bangalore-6-to-11-years-100919906210?src=jobsearchDesk&sid=15930818506031276&xp=1&px=2
55,SQL DBA,IBM India Pvt. Limited,6-8 Yrs,Not disclosed,India,DBA Jobs,None,"['MS SQL Server Administration', 'Database AdministrationPerformance Tuning', 'SQL Server Administration', 'Windows Server', 'MS SQL Server', 'Disaster Recovery', 'SQL Server Dba']",Today,,None
56,eCommerce Executive,Uber Fashion Merchandise Pvt. Ltd.,0-3 Yrs,"2,00,000 - 2,75,000 PA.",Bengaluru(Yeshwanthpur),Ecommerce Jobs,"Key Responsibilities:Create and manage Cataloging and listings on website & e-commerce portalsUpdate Product Data / specifications / ImagesCreate & manage individual and bulk listingsLook after entire listing process, cataloging, & pricingMonitor & opt-in promotional activities at MarketplacesProcess ordersMaintain and grow relations with current online sales channelsResponsible for promoting products of in house brand of the company on retail marketplacesCoordinating with the courier for Return parcelsHandle customer queries regarding orders placed, returns and service, warranty related issuesPrepare Sales Report in ExcelPrepare stock replenish reports basis sales throughput and stock on handProvide MIS reports sales & inventoryManaging backend and performing activities like order management, inventory management, catalog management.Coordinating with different teams to manage the complete product life cycle from sourcing, photoshoot, content, cataloguing, sales, etc.Location & TimingsLocation: Bangalore, YeshwantpurWorking Days: Mon-Sat (6 Days)Working Hours: 9:30 AM-6:30 PMRequired Candidate profileSkillsShould be well versed in MS Office with knowledge of VLookup, Hlookup & pivotsExcellent communication and interpersonal skillsAble to speak in English, Hindi & KannadaQualification & Eligibility:Educational Qualification: GraduateMinimum Marks 70% in 10thMinimum Marks 70% in 12thMinimum Marks 70% in degreeShould be currently living in BangalorePlease do not apply if your marks / grades are less than 70%Please do not apply if you located outside of Bangalore","['Yeshwantpur Job', 'ecommerce manager', 'e - commerce', 'online sales', 'graduate', 'cataloging', 'ecommerce executive', 'flipkart & amazon order management']",6 Days Ago,,https://www.naukri.com/job-listings-ecommerce-executive-uber-fashion-merchandise-pvt-ltd-bengaluru-bangalore-0-to-3-years-180620005332?src=jobsearchDesk&sid=15930819003544595&xp=1&px=1
57,Ecommerce Executive,Ardee Komfab Pvt. Ltd.,0-5 Yrs,Not disclosed,Manesar,Ecommerce Jobs,"online Order handling and dispatch on market places like amazon, flipkart, limeroad, snapdeal etc and our company website.Required Candidate profileThe candidate should be hard working sincere and good learner.knowledge of order handling on online market places like amazon snapdeal flipkart etc is required.","['Executive Assistant', 'Office Assistance', 'e - commerce executive assistant', 'Personal Assistance', 'Coordination', 'e - commerce executive', 'ecommerce executive', 'Back Office Operations']",6 Days Ago,,https://www.naukri.com/job-listings-ecommerce-executive-ardee-komfab-pvt-ltd-manesar-0-to-5-years-180620005256?src=jobsearchDesk&sid=15930819003544595&xp=2&px=1
58,Program Manager & Corporate Development Role - Ecommerce,eTeam,4-9 Yrs,Not disclosed,Gurgaon,Ecommerce Jobs,"Program ManagerSkills :- Master's or bachelor's degree- 4+ years work experience in corporate development & program management- Demonstrated problem-solving ability with experience providing practical business insights, backed by sound data-driven analysis- Intermediate to advance Excel modeling experience- Advanced SQL experience- Experience with forecasting metrics & building operational modelsDuties :- Conceptualize, implement and continually improve agency program for India (Small & Medium Business Team)- Design and execute on a standard cadence of operations for SMB Programs. Support SMB teams with planning and operational deliverables. Set appropriate KPIs for Programs and track performance.- Define success metrics for the Pilots & scale opportunity with key program objectives- Create the analytical infrastructure with Dashboards, KPIs and necessary modeling to support sales programs- Perform analysis of programs and initiatives to identify opportunities for improvement- Work with business stakeholders to identify the major operational pain points in their teams, and diagnose and resolve those issues- Develop strong collaborative relationships with key stakeholders and partners across the company (business/cross functional) both global and in-country.","['Program Management', 'Problem Solving', 'Advanced Excel', 'Business Insights', 'Dashboards', 'Data Modeling', 'Corporate Development', 'SQL']",14 Days Ago,,https://www.naukri.com/job-listings-program-manager-corporate-development-role-ecommerce-eteam-gurgaon-4-to-9-years-110620901522?src=jobsearchDesk&sid=15930819341221779&xp=1&px=2
59,Lead/ Head - Product Management - eCommerce - IIT/ NIT/ IIM/ XLRI/ FMS,Pinnacle Solutions,5-10 Yrs,Not disclosed,Delhi NCR,Ecommerce Jobs,"Lead/Head - Product Management - eCommerce - IIT/NIT/IIM/XLRI/FMS (3-10 yrs) Key Responsibilities:Position: Product HeadResponsibilitiesLead the product development with the Engineering Team; Owner of the onsite customer experience and conversion:- Work closely with IT team on product road map and release calendar- Define product roadmaps for all potential customer touch points (customer service, marketing, etc.)- Recommend and implement testing strategy; prioritize and execute to test plans.Define strategy and execution aspects of content, commerce and communication to drive business and customer acquisition in order to meet company's KPIs:- Provide and execute strategic recommendations to drive increased conversions throughout the customer product lifecycle experience.- Development of algorithms to define stacking and supply discovery- Innovation on products leading to customer acquisition/retention and brand penetration- Work closely with key stakeholders in Brand, Product, Acquisition/Retention Marketing, and Operations. Optimize online site navigation, products search results, and product presentation based on analysis (click-path, traffic, AOV, conversion, etc.).- Keyword development to adhere to campaign objectives and overall SEO strategyUtilize web analytics, to understand how customers are engaging with the companys websites; while collaborating with Merchandising and Marketing teams:- Provide recommendations for featured products in marketing / channel teams and featured tshirts to publishing teams based on on-site performance analytics.- Program and optimize product cross-sell and up-sell placements within the shopping experience. Work closely with Digital Marketing Team on optimization of landing pages and test campaigns.Work with marketing communication / PR to articulate our policies and commitment to keep the platforms content original & clean at various instances:- Integrates brand creative direction, quality assurance and usability to ensure precise execution of all deliverables- On-site Conversion and co-responsibility of sales numbers- Timely delivery of product and requisite additionsKey Skills required:- Strong Process & System Orientation.- Very Strong Analytical skills- Adept at operating a work flow & collaboration tools.- Team Building, Motivation & Management Skills- 4-10 Years of relevant product/ ecommerce experience.- Engineering/ MBA from Tier 1 institutes onlyWork Experience required: 3-10 Years of relevant work experienceOffice Location: GurgaonShould your profile match our requirements, please share your CV with us asap.","['Leadership', 'Product Management', 'IT Product Management', 'eCommerce', 'Consumer Internet', 'Iit', 'IIM', 'IT Product Development']",14 Days Ago,,https://www.naukri.com/job-listings-lead-head-product-management-ecommerce-iit-nit-iim-xlri-fms-pinnacle-solutions-delhi-ncr-5-to-10-years-110620003063?src=jobsearchDesk&sid=15930819341221779&xp=2&px=2
60,Hiring For SAP Business One Functional Consultant role,VC-ERP Consulting Pvt. Ltd.,2-7 Yrs,Not disclosed,Ahmedabad,ERP Jobs,"Greetings from VC ERP Consulting Pvt Ltd!!We are delighted to present the opportunity of ""SAP Business One Functional Consultant"" with us here at VC ERP Consulting Pvt Ltd where one will enjoy the role and make a significant contribution to the success of the business.The following points outline the terms and conditions we are proposing:Job title / Role :SAP Business One Functional ConsultantEmployment Type :PermanentQualification / Experience :3-5 years of relevant experienceOpen to travel to Customer location / sites for Project workRight attitude to learn, work as a team player and serve customersJob Description, Responsibilities & Duties :Understanding & analysing customers AS-IS Business Processes and mapping TO-BE processes.Installation, configuration and optimization of SAP Business One applications and solutions as per the agreed implementation planPreparation of Blue Prints.System integration & configuration, initialization and setup.Importing of data from Legacy MS Excel database systems into SAP Business One via DTW (Data Transfer Workbench).Database Management, Backup and RecoveryAnalyzing and customizing as per the Organizational requirements in the modules i.e. (Finance, CRM, Sales & Purchase, Production ,DTW,PLD) Technical (B1 Installation and Up-gradation, SAP B1 Dashboard ,Mobile Integration ,Outlook Configuration, Stored Procedures, FMS, Crystal reports , SAP Lumira ).etc.Installation and implementation of additional products and Service Packs.Develop Crystal Reports and Query Based Reports.Department Wise User training and Support.Base Location :Ahmedabad, Gujarat, IndiaCustomer / Project Location :Pan IndiaIf you are interested to apply for this position, please response back at resource2@vc-erp.com or call us on : +919099059892","['Outlook Configuration', 'Erp Consulting', 'Stored Procedures', 'SAP B1', 'CRM Sales', 'User Training', 'Functional Consultancy', 'System Integration']",9 Days Ago,,https://www.naukri.com/job-listings-hiring-for-sap-business-one-functional-consultant-role-vc-erp-consulting-pvt-ltd-ahmedabad-2-to-7-years-200719004925?src=jobsearchDesk&sid=15930819922227993&xp=1&px=1
